idx,license,mapping_type,map_name
6226458,Apache-1.0,spdx_id,MapFuzzyMatch
4981275,Apache-1.0,spdx_id,MapFuzzyMatch
4981280,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
2228769,MIT,spdx_id,MapFuzzyMatch
655910,Apache-1.0,spdx_id,MapFuzzyMatch
5308966,MIT,spdx_id,MapFuzzyMatch
3867181,MIT,spdx_id,MapFuzzyMatch
4981293,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
3801647,ISO-permission,spdx_id,MapFuzzyMatch
4063791,MIT,spdx_id,MapFuzzyMatch
5702192,MIT,spdx_id,MapFuzzyMatch
563,Apache-2.0,spdx_id,MapExactMatch
570,BSD,license_family,MapLicenseFamily
4981318,MIT,spdx_id,MapFuzzyMatch
2753095,MIT,spdx_id,MapFuzzyMatch
459337,MIT,spdx_id,MapFuzzyMatch
5046872,MIT,spdx_id,MapFuzzyMatch
6292061,MIT,spdx_id,MapFuzzyMatch
2163295,NIST-Software,spdx_id,MapFuzzyMatch
655969,MIT,spdx_id,MapFuzzyMatch
7209570,MIT,spdx_id,MapFuzzyMatch
7275108,MIT,spdx_id,MapFuzzyMatch
6488679,BUSL-1.1,spdx_id,MapFuzzyMatch
4063855,MIT,spdx_id,MapFuzzyMatch
1442416,Apache-2.0,spdx_id,MapFuzzyMatch
2228848,ISO-permission,spdx_id,MapFuzzyMatch
6619760,ISO-permission,spdx_id,MapFuzzyMatch
524915,MIT,spdx_id,MapFuzzyMatch
1049210,MIT,spdx_id,MapFuzzyMatch
4194939,BSD-1-Clause,spdx_id,MapFuzzyMatch
5243518,MIT,spdx_id,MapFuzzyMatch
7078529,GPL-1.0,spdx_id,MapFuzzyMatch
7340678,MIT,spdx_id,MapFuzzyMatch
5309066,Apache-1.0,spdx_id,MapFuzzyMatch
459410,ISO-permission,spdx_id,MapFuzzyMatch
6423188,Apache-1.0,spdx_id,MapFuzzyMatch
4063903,Apache-1.0,spdx_id,MapFuzzyMatch
7340713,MIT,spdx_id,MapFuzzyMatch
3539637,MIT,spdx_id,MapFuzzyMatch
5898933,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
3277501,MIT,spdx_id,MapFuzzyMatch
2753218,Python-2.0,spdx_id,MapFuzzyMatch
1835719,LGPL-2.1,spdx_id,MapFuzzyMatch
4457164,ISO-permission,spdx_id,MapFuzzyMatch
4129485,MIT,spdx_id,MapFuzzyMatch
6423256,FTL,spdx_id,MapFuzzyMatch
3408601,NIST-Software,spdx_id,MapFuzzyMatch
4981473,APSL-2.0,spdx_id,MapFuzzyMatch
131812,MIT,spdx_id,MapFuzzyMatch
3408618,MIT,spdx_id,MapFuzzyMatch
6292209,GPL-2.0,spdx_id,MapFuzzyMatch
328438,Apache-1.0,spdx_id,MapFuzzyMatch
393975,GPL-3.0,spdx_id,MapFuzzyMatch
7209726,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
1114880,MIT,spdx_id,MapFuzzyMatch
1049345,GPL-1.0,spdx_id,MapFuzzyMatch
2228992,MIT,spdx_id,MapFuzzyMatch
5440260,MIT,spdx_id,MapFuzzyMatch
525063,MIT,spdx_id,MapFuzzyMatch
1835785,ISO-permission,spdx_id,MapFuzzyMatch
66318,EUPL-1.2,spdx_id,MapExactID
4981524,MIT,spdx_id,MapFuzzyMatch
6554391,ISO-permission,spdx_id,MapFuzzyMatch
6619933,AML,spdx_id,MapFuzzyMatch
1835806,MIT,spdx_id,MapFuzzyMatch
2753318,MIT,spdx_id,MapFuzzyMatch
5571377,AGPL-1.0,spdx_id,MapFuzzyMatch
7602998,PPL,spdx_id,MapFuzzyMatch
4457276,GPL-3.0,spdx_id,MapFuzzyMatch
6161215,ISO-permission,spdx_id,MapFuzzyMatch
7209794,MIT,spdx_id,MapFuzzyMatch
