idx,license,mapping_type,map_name
4631595,WTFPL,spdx_id,MapExactMatch
4893750,MIT,spdx_id,MapFuzzyMatch
1158203,Apache-1.0,spdx_id,MapFuzzyMatch
175164,MIT,spdx_id,MapFuzzyMatch
3714130,MIT,spdx_id,MapFuzzyMatch
4959315,MIT,spdx_id,MapFuzzyMatch
3517529,BSD-1-Clause,spdx_id,MapFuzzyMatch
4041817,MIT,spdx_id,MapFuzzyMatch
240740,CC-BY-4.0,spdx_id,MapFuzzyMatch
7056486,MIT,spdx_id,MapFuzzyMatch
4172904,BUSL-1.1,spdx_id,MapFuzzyMatch
3452015,MIT,spdx_id,MapFuzzyMatch
7646321,MIT,spdx_id,MapFuzzyMatch
1813619,Apache-1.0,spdx_id,MapFuzzyMatch
6270068,Apache-2.0,spdx_id,MapFuzzyMatch
2731129,Apache-1.0,spdx_id,MapFuzzyMatch
2600058,MIT,spdx_id,MapFuzzyMatch
2993284,MIT,spdx_id,MapFuzzyMatch
5811334,AGPL-1.0,spdx_id,MapFuzzyMatch
2600074,MIT,spdx_id,MapFuzzyMatch
4041867,MIT,spdx_id,MapFuzzyMatch
502925,MIT,spdx_id,MapFuzzyMatch
3517582,MIT,spdx_id,MapFuzzyMatch
5811348,MIT,spdx_id,MapFuzzyMatch
5221525,MIT,spdx_id,MapFuzzyMatch
5483677,CC-PDDC,spdx_id,MapFuzzyMatch
4500638,MIT,spdx_id,MapFuzzyMatch
7646372,GPL-1.0,spdx_id,MapFuzzyMatch
5024938,MIT,spdx_id,MapFuzzyMatch
5024942,BSD-1-Clause,spdx_id,MapFuzzyMatch
5024948,MIT,spdx_id,MapFuzzyMatch
3386550,MIT,spdx_id,MapFuzzyMatch
5614779,Python-2.0,spdx_id,MapFuzzyMatch
109761,LGPL-3.0,spdx_id,MapFuzzyMatch
5156034,LGPL-3.0,spdx_id,MapFuzzyMatch
6139077,GPL-1.0,spdx_id,MapFuzzyMatch
765129,MIT,spdx_id,MapFuzzyMatch
4238537,MIT,spdx_id,MapFuzzyMatch
5811407,MIT,spdx_id,MapFuzzyMatch
5811408,MIT,spdx_id,MapFuzzyMatch
175313,BSD-4-Clause,spdx_id,MapFuzzyMatch
3517652,MIT,spdx_id,MapFuzzyMatch
4435163,MIT,spdx_id,MapFuzzyMatch
3386588,BSD-2-Clause,spdx_id,MapFuzzyMatch
371934,MIT,spdx_id,MapFuzzyMatch
5483743,Apache-1.1,spdx_id,MapFuzzyMatch
1617121,MIT,spdx_id,MapFuzzyMatch
2010342,MIT,spdx_id,MapFuzzyMatch
765160,MIT,spdx_id,MapFuzzyMatch
765164,MIT,spdx_id,MapFuzzyMatch
5221619,Apache-1.1,spdx_id,MapFuzzyMatch
5156084,ISO-permission,spdx_id,MapFuzzyMatch
1158394,MIT,spdx_id,MapFuzzyMatch
3845370,MIT,spdx_id,MapFuzzyMatch
765184,Apache-1.0,spdx_id,MapFuzzyMatch
6466826,BSD-2-Clause,spdx_id,MapFuzzyMatch
503065,MIT,spdx_id,MapFuzzyMatch
3976474,MIT,spdx_id,MapFuzzyMatch
6663456,Apache-1.0,spdx_id,MapFuzzyMatch
3517741,BSD-1-Clause,spdx_id,MapFuzzyMatch
2796846,MIT,spdx_id,MapFuzzyMatch
7122226,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
503091,MIT,spdx_id,MapFuzzyMatch
4631866,ISO-permission,spdx_id,MapFuzzyMatch
1682749,Elastic-2.0,spdx_id,MapExactMatch
2403651,MIT,spdx_id,MapFuzzyMatch
372036,QPL-1.0,spdx_id,MapFuzzyMatch
4107589,MIT,spdx_id,MapFuzzyMatch
4435267,MIT,spdx_id,MapFuzzyMatch
3845453,MIT,spdx_id,MapFuzzyMatch
372047,LGPL-2.0,spdx_id,MapFuzzyMatch
4435281,MIT,spdx_id,MapFuzzyMatch
109917,CC-BY-4.0,spdx_id,MapFuzzyMatch
372064,MIT,spdx_id,MapFuzzyMatch
2403686,GPL-1.0,spdx_id,MapFuzzyMatch
109930,CC0-1.0,spdx_id,MapFuzzyMatch
6401388,MIT,spdx_id,MapFuzzyMatch
5156206,copyleft-next-0.3.0,spdx_id,MapFuzzyMatch
3714418,MIT,spdx_id,MapFuzzyMatch
5483890,MIT,spdx_id,MapFuzzyMatch
5025141,ANTLR-PD,spdx_id,MapFuzzyMatch
44407,LGPL-2.1,spdx_id,MapFuzzyMatch
765321,BSD-1-Clause,spdx_id,MapFuzzyMatch
1879435,ISO-permission,spdx_id,MapFuzzyMatch
765324,Apache-2.0,spdx_id,MapFuzzyMatch
44430,GPL-3.0,spdx_id,MapExactID
2141589,MIT,spdx_id,MapFuzzyMatch
2796960,MIT,spdx_id,MapFuzzyMatch
3059110,MIT,spdx_id,MapFuzzyMatch
5680555,MIT,spdx_id,MapFuzzyMatch
1551790,MIT,spdx_id,MapFuzzyMatch
7122350,MIT,spdx_id,MapFuzzyMatch
1617328,LPD-document,spdx_id,MapFuzzyMatch
1879484,MIT,spdx_id,MapFuzzyMatch
3321281,BSD-1-Clause,spdx_id,MapFuzzyMatch
241108,NCL,spdx_id,MapFuzzyMatch
7319001,MIT,spdx_id,MapFuzzyMatch
6270427,LPD-document,spdx_id,MapFuzzyMatch
437725,MIT,spdx_id,MapFuzzyMatch
699873,MIT,spdx_id,MapFuzzyMatch
3517930,BSD-1-Clause,spdx_id,MapFuzzyMatch
372203,MIT-feh,spdx_id,MapFuzzyMatch
3714538,Unlicense,spdx_id,MapFuzzyMatch
2993650,WTFNMFPL,spdx_id,MapFuzzyMatch
2207224,MIT,spdx_id,MapFuzzyMatch
5942778,MIT,spdx_id,MapFuzzyMatch
6335995,MIT,spdx_id,MapFuzzyMatch
830972,MIT,spdx_id,MapFuzzyMatch
7384571,MIT,spdx_id,MapFuzzyMatch
830976,Apache-1.1,spdx_id,MapFuzzyMatch
3190276,MIT,spdx_id,MapFuzzyMatch
1814021,MIT,spdx_id,MapFuzzyMatch
1814028,MIT,spdx_id,MapFuzzyMatch
110094,MIT,spdx_id,MapFuzzyMatch
175630,MIT,spdx_id,MapFuzzyMatch
2993680,MIT,spdx_id,MapFuzzyMatch
2272786,MIT,spdx_id,MapFuzzyMatch
6008341,MIT,spdx_id,MapFuzzyMatch
699928,MIT,spdx_id,MapFuzzyMatch
5746205,ISO-permission,spdx_id,MapFuzzyMatch
3714592,Apache-2.0,spdx_id,MapFuzzyMatch
7319077,MIT,spdx_id,MapFuzzyMatch
6467111,MIT,spdx_id,MapFuzzyMatch
