idx,license,mapping_type,map_name
6449430,BSD-3-Clause,spdx_id,MapExactMatch
5663170,OSL-3.0,spdx_id,MapExactMatch
92677,CC-BY-3.0,spdx_id,MapExactID
4155959,MIT,spdx_id,MapExactMatch
224033,CC-BY-4.0,spdx_id,MapExactID
289675,ZPL-2.1,spdx_id,MapExactID
93478,,unknown,MapNA
2256190,BSD-3-Clause,spdx_id,MapExactID
2714950,MulanPSL-2.0,spdx_id,MapExactMatch
93554,Unlicense,spdx_id,MapExactID
28105,MIT,spdx_id,MapExactMatch
486911,LGPL-2.1-or-later,spdx_id,MapExactID
3305152,EPL-1.0,spdx_id,MapExactMatch
94254,ODbL-1.0,spdx_id,MapExactID
6582372,MIT,spdx_id,MapExactMatch
2847104,MPL-1.1,spdx_id,MapExactID
684503,Apache-2.0,spdx_id,MapExactMatch
6386155,BSD-3-Clause,spdx_id,MapExactID
7434752,GPL-3.0,spdx_id,MapExactID
5861964,AGPL-3.0-only,spdx_id,MapExactMatch
29367,GPL-3.0-or-later,spdx_id,MapExactID
2585310,AGPL-3.0-only,spdx_id,MapExactMatch
2650850,Apache-2.0,spdx_id,MapExactMatch
29424,WTFPL,spdx_id,MapExactMatch
226140,Artistic-2.0,spdx_id,MapExactMatch
95072,LGPL-2.0,spdx_id,MapExactID
2323302,Apache-2.0,spdx_id,MapExactID
160629,CC0-1.0,spdx_id,MapExactID
750640,CC-BY-3.0-US,spdx_id,MapExactID
1143900,Apache-2.0,spdx_id,MapExactMatch
5141698,AGPL-3.0,spdx_id,MapExactID
2127079,0BSD,spdx_id,MapExactMatch
29982,MIT,spdx_id,MapExactID
2848076,BSD-3-Clause,spdx_id,MapExactID
95572,CC-BY-NC-SA-4.0,spdx_id,MapExactID
4617563,GFDL-1.3-or-later,spdx_id,MapExactID
2323850,CC0-1.0,spdx_id,MapExactMatch
95628,AGPL-3.0,spdx_id,MapExactID
5993880,Unlicense,spdx_id,MapExactMatch
554512,LGPL-2.1,spdx_id,MapExactID
5666367,WTFPL,spdx_id,MapExactMatch
30291,Apache-2.0,spdx_id,MapExactMatch
2848412,Apache-2.0,spdx_id,MapExactMatch
30616,Unlicense,spdx_id,MapExactMatch
96290,Apache-2.0,spdx_id,MapExactID
4880700,NIST-PD,spdx_id,MapExactID
2455947,MIT,spdx_id,MapExactMatch
3176870,BSD-2-Clause-Patent,spdx_id,MapExactMatch
2062841,Apache-2.0,spdx_id,MapExactMatch
293382,MPL-1.1,spdx_id,MapExactMatch
752160,GPL-3.0,spdx_id,MapExactMatch
2325140,Apache-2.0,spdx_id,MapExactMatch
1014551,Apache-2.0,spdx_id,MapExactMatch
97213,CECILL-2.1,spdx_id,MapExactID
31754,GPL-3.0,spdx_id,MapExactID
2456673,GPL-3.0,spdx_id,MapExactID
4947246,APL-1.0,spdx_id,MapExactID
1015120,NGPL,spdx_id,MapExactMatch
1801569,AGPL-3.0,spdx_id,MapExactID
2129387,LGPLLR,spdx_id,MapExactID
2064012,AGPL-3.0-only,spdx_id,MapExactMatch
4226780,GPL-3.0,spdx_id,MapExactID
