map_name,attempts,successes,success_rate,unknowns
MapFuzzyMatch,16951,13556,0.7997168308654357,0
MapExactID,17656,397,0.022485274127775262,0
MapExactMatch,17259,261,0.01512254475925604,0
MapLicenseFamily,16998,47,0.00276503118013884,0
MapNA,17689,33,0.0018655661710667646,33
