license,count
MIT,7632
BSD-1-Clause,769
Apache-1.0,740
JSON,669
BSD-3-Clause,652
Apache-2.0,574
GPL-3.0,291
copyleft-next-0.3.0,233
AGPL-3.0,211
BSD-2-Clause,202
GPL-1.0,156
GPL-2.0,117
LGPL-3.0,96
LGPL-2.1,87
CC-BY-4.0,85
BUSL-1.1,81
ISC,74
AGPL-1.0,69
BSD-3-Clause-No-Nuclear-License,67
BSD-Source-Code,66
Unlicense,54
WTFPL,44
Artistic-1.0,43
MPL-2.0,39
CC0-1.0,39
