license,count
Apache-2.0,85
MIT,48
GPL-3.0,45
BSD-3-Clause,30
AGPL-3.0-only,30
GPL-2.0,24
AGPL-3.0,22
LGPL-3.0,20
BSD-2-Clause,18
WTFPL,17
Unlicense,12
CC0-1.0,10
LGPL-2.1,10
EUPL-1.2,10
LGPL-2.0,9
GPL-3.0-or-later,9
CECILL-B,8
EPL-2.0,7
MPL-2.0,7
CC-BY-SA-4.0,7
CC-BY-4.0,7
MPL-2.0-no-copyleft-exception,6
CC-BY-NC-SA-4.0,6
BSL-1.0,6
AGPL-3.0-or-later,6
