license,count
MIT,7277
ISO-permission,1506
Apache-1.0,793
BSD-1-Clause,772
Apache-2.0,530
GPL-3.0,307
BSD-3-Clause,259
copyleft-next-0.3.0,238
AGPL-3.0,226
GPL-1.0,160
GPL-2.0,120
BSD-2-Clause,110
AGPL-1.0,107
ANTLR-PD,104
LGPL-3.0,102
LGPL-2.1,90
CC-BY-4.0,88
BUSL-1.1,88
BSD-3-Clause-No-Nuclear-License,66
BSD-Source-Code,66
Apache-1.1,64
SMAIL-GPL,59
NIST-Software,59
Unlicense,57
Fair,47
