idx,license,mapping_type,map_name
2929086,,undetermined,MapNA
2929086,,undetermined,MapExactID
2929086,,undetermined,MapExactMatch
2929086,,undetermined,MapLicenseFamily
1946053,,undetermined,MapNA
1946053,,undetermined,MapExactID
1946053,,undetermined,MapExactMatch
1946053,,undetermined,MapLicenseFamily
7385544,,undetermined,MapNA
7385544,,undetermined,MapExactID
7385544,,undetermined,MapExactMatch
7385544,,undetermined,MapLicenseFamily
7385544,,undetermined,MapFuzzyMatch
5616075,,undetermined,MapNA
5616075,,undetermined,MapExactID
5616075,,undetermined,MapExactMatch
5616075,,undetermined,MapLicenseFamily
6336971,,undetermined,MapNA
6336971,,undetermined,MapExactID
6336971,,undetermined,MapExactMatch
6336971,,undetermined,MapLicenseFamily
2929104,,undetermined,MapNA
2929104,,undetermined,MapExactID
2929104,,undetermined,MapExactMatch
2929104,,undetermined,MapLicenseFamily
2929104,,undetermined,MapFuzzyMatch
4698581,,undetermined,MapNA
4698581,,undetermined,MapExactID
4698581,,undetermined,MapExactMatch
4698581,,undetermined,MapLicenseFamily
4239833,,undetermined,MapNA
4239833,,undetermined,MapExactID
4239833,,undetermined,MapExactMatch
4239833,,undetermined,MapLicenseFamily
4895193,,undetermined,MapNA
4895193,,undetermined,MapExactID
4895193,,undetermined,MapExactMatch
4895193,,undetermined,MapLicenseFamily
373211,,undetermined,MapNA
373211,,undetermined,MapExactID
373211,,undetermined,MapExactMatch
373211,,undetermined,MapLicenseFamily
7057883,,undetermined,MapNA
7057883,,undetermined,MapExactID
7057883,,undetermined,MapExactMatch
7057883,,undetermined,MapLicenseFamily
2273762,,undetermined,MapNA
2273762,,undetermined,MapExactID
2273762,,undetermined,MapExactMatch
2273762,,undetermined,MapLicenseFamily
3387878,,undetermined,MapNA
3387878,,undetermined,MapExactID
3387878,,undetermined,MapExactMatch
3387878,,undetermined,MapLicenseFamily
504296,,undetermined,MapNA
504296,,undetermined,MapExactID
504296,,undetermined,MapExactMatch
504296,,undetermined,MapLicenseFamily
